id;atomNum;name;shortName;link;type;license ;logo;courses;certifications
1;null;;;;;;;;
2;null;;;;;;;;
3;null;;;;;;;;
4;91;XebiaLabs XL Impact;Xli;TBD;analytics;en;91_xebialabs_xl_impact.png;;
5;92;Kibana;Ki;TBD;analytics;os;92_kibana.png;;
6;93;New Relic;Nr;TBD;analytics;efm;93_new_relic.png;;
7;94;Dynatrace;Dt;TBD;analytics;en;94_dynatrace.png;;
8;95;Datadog;Dd;TBD;analytics;en;95_datadog.png;;
9;96;AppDynamics;Ad;TBD;analytics;fm;96_appdynamics.png;;
10;97;ElasitcSearch;El;TBD;analytics;os;97_elasitcsearch.png;;
11;98;Nagios;Ni;TBD;monitoring;os;98_nagios.png;;
12;99;Zabbix;Zb;TBD;monitoring;os;99_zabbix.png;;
13;100;Zenoss;Zn;TBD;monitoring;en;100_zenoss.png;;
14;101;Checkmarx SAST;Cm;TBD;security;en;101_checkmarx_sast.png;;
15;102;Signal Sciences WPP;Wp;TBD;security;en;102_signal_sciences_wpp.png;;
16;103;BalckDuck;Bd;TBD;security;en;103_balckduck.png;;
17;104;SonarQube;Sr;TBD;security;os;104_sonarqube.png;;
18;105;HashiCorp Vault;Hv;TBD;security;os;105_hashicorp_vault.png;;
19;null;;;;;;;;
20;null;;;;;;;;
21;null;;;;;;;;
22;106;ServiceNow;Sw;TBD;collaboration;en;106_servicenow.png;;
23;107;Jira;Jr;TBD;collaboration;pd;107_jira.png;;
24;108;Trello;Tl;TBD;collaboration;fm;108_trello.png;;
25;109;Slack;Sk;TBD;collaboration;fm;109_slack.png;;
26;110;Stride;St;TBD;collaboration;fm;110_stride.png;;
27;111;CollabNet VersionOne;Cn;TBD;collaboration;en;111_collabnet_versionone.png;;
28;112;Remedy;Ry;TBD;collaboration;en;112_remedy.png;;
29;113;Agile Central;Ac;TBD;collaboration;en;113_agile_central.png;;
30;114;Ops Genie;Og;TBD;collaboration;pd;114_ops_genie.png;;
31;115;Pagerduty;Pd;TBD;collaboration;pd;115_pagerduty.png;;
32;116;Snort;Sn;TBD;security;os;116_snort.png;;
33;117;Tripwire;Tw;TBD;security;fm;117_tripwire.png;;
34;118;CyberArk;Ck;TBD;security;en;118_cyberark.png;;
35;119;Veracode;Vc;TBD;security;en;119_veracode.png;;
36;120;Fortify SCA;Ff;TBD;security;en;120_fortify_sca.png;;
